Spotify ID;Artist IDs;Track Name;Album Name;Artist Name;Release Date;Duration (ms);Popularity;Date;Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature
4FiDkc2woxfDbfCoSqx6pq;0V2oXYR7DtrZAEFeILRW2r,15AZJFNrXtIN4Nk8BIOnS2;HONG KONG;HONG KONG;Lvbel C5,Batuflex;2021-12-24;111901;58;2022;turkce drill,turkish hip hop,turkish trap;481;515;11;-13.273;1;285;0.0722;0.00000127;157;592;139.285;4
0AZSfB7efuLK2FWQpgMcRI;1qQLhymHXFPtP5U8KNKsm6;Ferrari Testarossa;Ferrari Testarossa;Apache 207;2018-08-15;220601;62;2022;german hip hop;764;831;9;-6.32;0;121;23;0;0.0698;282;133.044;4
7lkqbdBKrsyNNq3xi0LeaY;0L3wrFI3QcbXAvFL7IaPQX;NKBİ;Atlantis;Güneş;2022-06-03;177565;68;2022;turkce kadin rap;633;647;2;-6.129;0;0.03;0.00373;0.000206;122;115;100.033;4
0CqQx2dcNFmtYM4oTSECSt;5W2dGRPmYetOpUIpErUtD3;Gayrimeşru;Gayrimeşru;Organize;2022-05-27;118326;57;2022;turkce drill,turkish hip hop;708;841;7;-8.765;0;195;235;411;0.0996;446;143.854;4
5VjHlXXY1YduFrQI0EgUYm;0V2oXYR7DtrZAEFeILRW2r;SORUN NE KARDEŞ;C5MODE;Lvbel C5;2022-03-18;75875;47;2022;turkce drill,turkish hip hop,turkish trap;892;767;8;-11.091;1;134;601;0.000249;214;0.41;140.105;4
0rSC5fRAv9AMysBCt8X4kp;09WqkYnqWKUQAYSlEvaf6s;Geri Ver;Geri Ver;Murda;2021-05-14;191926;51;2022;turkce drill,turkish trap;695;653;5;-8.663;0;157;444;0;113;301;122.013;4
1XpmMe95dk9jh3zuOMpeU2;5SulO4l40qDuV9zUGLZx7n;Capri Sun;Hustle Mixtape;Capo Plaza;2022-06-03;199680;69;2022;italian hip hop,italian pop,trap italiana;683;852;0;-2.755;1;0.0636;0.0454;0;246;448;93.068;4
5BQwQDyMKyo4GCV7cDId21;4WZGDpNwrC0vNQyl9QzF7d,6h1s4i4XKIYv4ErDelLDN0,4hK7sEnm0se5bqoI3Yb5o1;Purple Rain;Berlin lebt 2;Capital Bra,Samra,SANTOS;2019-10-03;207750;55;2022;german hip hop;652;754;10;-5.086;0;264;293;0;0.15;483;160.005;4
6bOknVfYaDcWqvHSAw1EBG;13gqXJa3Mpcd3yHtcqXE3P,798ceFTnKCNT00aTswubPI,1b37T5A3Sm85ueNhe6g9Mx;Son El;Son El;Batdora,Dante,Odin;2020-12-18;237631;0;2022;;384;455;6;-12.176;0;234;227;0;103;258;51.678;3
3klG6fu28FrU9nNcBNX1lv;6sBSLIunx1Je0Y2T77wpkP;MASAL;22;Motive;2022-01-21;171789;60;2022;turkish hip hop,turkish trap;471;0.59;4;-7.829;0;229;652;0.0000897;186;392;125.672;5
6ALp9AUG6KFmya8JGmOxjt;6CPZWzcKiOKkHn4L2XI4i2,5eioJDe26lOqkAMbuhzZYs;Gostoso;Paradoks;cakal,Gzuz;2022-05-13;157613;52;2022;turkce drill,deep german hip hop,german hip hop,hamburg hip hop;708;758;2;-7.39;1;316;209;0.00000736;0.24;613;142.148;4
1Wv8KLxurCTT0wjnldB8Bw;7kNqXtgeIwFtelmRjWv205,4pT84mlmySh9CkiGfJA9xV,6KJPsGYJN54GllYOKTleaj;Human (feat. Echoes) - Aaron Hibell Extended Remix;Human (feat. Echoes) [Aaron Hibell Extended Remix];John Summit,Echoes,Aaron Hibell;2022-02-25;433792;38;2022;edm,house,pop dance,tech house,uk dance,stutter house;0.58;576;5;-7.881;0;0.0323;0.0156;0.0736;0.0963;0.0512;132.041;4
6f3Slt0GbA2bPZlz0aIFXN;2o5jDhtHVPhrJdv3cEQ99Z;The Business;The Business;Tiësto;2020-09-16;164000;79;2022;big room,brostep,dutch edm,edm,house,pop dance,slap house,trance;798;0.62;8;-7.079;0;232;414;0.0192;112;235;120.031;4
1r0PLedFwwsxU394jUdNQ3;6sBSLIunx1Je0Y2T77wpkP,2rEDzxGSP3mUXjf6s0ENc1;KÜLÜ KALDI;22;Motive,doga;2022-01-21;140000;56;2022;turkish hip hop,turkish trap;644;692;3;-6.43;0;0.0823;0.0694;0;73;472;155.912;4
4SF1K7VfTBnVSEyBCrrUWK;3c96G4d2lUOxhomM2mby5S;Alles wird gut;Zeiten ändern dich;Bushido;2010-02-22;218106;62;2022;german hip hop;632;786;6;-7.431;0;437;239;0;337;522;93.425;4
3c9IKwzgIPcCweCl9so748;2vVNxGBvKRQMWwI5c8KmYh;Underwater;Underwater;Tujamo;2021-07-30;141895;68;2022;dutch house,edm,electro house,melbourne bounce,pop dance,progressive electro house;703;692;1;-5.748;0;0.0412;0.00469;0.00000164;0.12;491;124.077;4
2V64fb2d4QiLDJggvQ96oP;0V2oXYR7DtrZAEFeILRW2r;Andale;Andale;Lvbel C5;2021-05-07;164000;48;2022;turkce drill,turkish hip hop,turkish trap;751;626;9;-8.17;0;233;0.25;131;318;467;144.062;4
0zryFWOTwY1BDcED6t27Sl;6CPZWzcKiOKkHn4L2XI4i2,5JJc8is4VzgOz8ZanDj18J,4xklx5DAtVru5uf3vSXTgf;Dünya Fani;Dünya Fani;cakal,Arem Ozguc,Arman Aydin;2022-06-17;116572;60;2022;turkce drill,turkish edm;757;0.89;6;-5.356;1;0.0461;0.0111;0.000105;169;682;122.054;4
0HIPXxfqR9hyvK6XjdKl33;798ceFTnKCNT00aTswubPI;Show Me How;Show Me How;Dante;2021-09-22;147005;1;2022;;703;386;5;-12.003;0;58;29;0.0025;0.11;0.0864;98.002;4
1ijjjMFlM3Pe8t3ykXBzxk;51DevdOxIJin6DB1FXJpD1,7GaMopkesD4KK9dNbgyO5D;Mahalle;Kan;UZI,Eko Fresh;2021-03-19;152301;58;2022;turkish trap,cologne hip hop,german hip hop,turkish hip hop;691;733;8;-4.578;1;0.36;399;0;0.0875;527;84.727;4
0NA5xAtDra50d0Lfs2uvoh;0iEtIxbK0KxaSlF7G42ZOp,1zNqQNIdeOUZHb8zbZRFMX,3tVQdUvClmAT7URs9V3rsp;Borrowed Love (feat. Swae Lee & WizKid);NOT ALL HEROES WEAR CAPES (Deluxe);Metro Boomin,Swae Lee,Wizkid;2018-11-06;230240;66;2022;rap,melodic rap,trap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop;0.52;594;11;-8.81;0;462;0.44;0;185;393;129.216;5
